timestamp,open,high,low,close,volume
1636711200000,6.953,7.132,6.909,6.994,1675376.5
1636714800000,6.995,7.084,6.955,7.01,838746.2
1636718400000,7.012,7.099,6.934,7.055,994785.7
1636722000000,7.054,7.077,6.952,7.055,1123350.5
1636725600000,7.053,7.076,6.957,6.961,597108.5
1636729200000,6.961,7.064,6.94,7.008,999690.3
1636732800000,7.01,7.046,6.851,6.996,1409613.2
1636736400000,6.996,7.149,6.961,7.138,895729.1
1636740000000,7.139,7.166,7.096,7.148,700123.9
1636743600000,7.149,7.154,7.063,7.127,426944.7
1636747200000,7.125,7.2,7.123,7.186,386258.9
1636750800000,7.186,7.222,7.16,7.165,439951.9
1636754400000,7.165,7.215,7.134,7.167,273582.9
1636758000000,7.167,7.213,7.139,7.177,259272.9
1636761600000,7.176,7.222,7.164,7.183,327150.5
1636765200000,7.183,7.191,7.089,7.092,359863.5
1636768800000,7.092,7.171,7.07,7.088,436008.8
1636772400000,7.09,7.129,7.08,7.102,213887.9
1636776000000,7.1,7.119,7.042,7.083,291437.8
1636779600000,7.083,7.102,7.061,7.08,245467.5
1636783200000,7.08,7.163,7.077,7.158,303931.7
1636786800000,7.157,7.199,7.106,7.174,473868.4
1636790400000,7.173,7.198,7.146,7.164,340057.3
1636794000000,7.164,7.2,7.135,7.152,381885.6
1636797600000,7.152,7.162,7.081,7.134,548979.6
1636801200000,7.135,7.154,7.11,7.123,229066.9
1636804800000,7.122,7.155,7.105,7.128,369429.2
1636808400000,7.128,7.183,7.102,7.135,325158.4
1636812000000,7.134,7.323,7.132,7.297,1436065.2
1636815600000,7.299,7.311,7.248,7.282,515451.1
1636819200000,7.281,7.311,7.232,7.257,726390.2
1636822800000,7.257,7.296,7.246,7.285,408332.4
1636826400000,7.285,7.288,7.16,7.192,630172.0
1636830000000,7.192,7.211,7.138,7.185,435802.5
1636833600000,7.186,7.212,7.171,7.204,200534.2
1636837200000,7.206,7.207,7.143,7.171,223152.4
1636840800000,7.172,7.195,7.151,7.176,250210.9
1636844400000,7.176,7.199,7.126,7.189,487774.5
1636848000000,7.189,7.251,7.166,7.226,543128.4
1636851600000,7.227,7.234,7.17,7.194,344327.9
1636855200000,7.195,7.251,7.185,7.204,354908.3
1636858800000,7.204,7.236,7.062,7.087,2125059.5
1636862400000,7.087,7.1,7.063,7.078,522299.3
1636866000000,7.077,7.1,7.065,7.099,373338.5
1636869600000,7.1,7.115,7.087,7.105,321326.7
1636873200000,7.105,7.116,7.061,7.081,273966.6
1636876800000,7.083,7.084,7.002,7.051,796197.7
1636880400000,7.051,7.083,7.024,7.057,278363.7
1636884000000,7.057,7.109,7.045,7.088,282471.2
1636887600000,7.088,7.095,7.038,7.083,441112.3
1636891200000,7.083,7.111,7.05,7.09,320550.0
1636894800000,7.09,7.108,7.07,7.094,285907.1
1636898400000,7.093,7.097,7.018,7.048,431479.8
1636902000000,7.049,7.05,7.004,7.02,247917.2
1636905600000,7.02,7.028,6.925,6.933,949821.2
1636909200000,6.934,6.976,6.86,6.947,808368.1
1636912800000,6.948,6.963,6.901,6.938,356468.2
1636916400000,6.938,6.963,6.913,6.944,291127.5
1636920000000,6.944,6.972,6.925,6.953,265966.9
1636923600000,6.953,6.998,6.946,6.98,251108.1
1636927200000,6.98,7.029,6.976,7.006,270078.6
1636930800000,7.006,7.052,6.981,7.051,466625.6
1636934400000,7.051,7.124,7.05,7.073,631138.6
1636938000000,7.076,7.129,7.061,7.126,385963.8
1636941600000,7.126,7.135,7.091,7.1,364890.9
1636945200000,7.099,7.119,7.066,7.104,406144.5
1636948800000,7.104,7.122,7.088,7.098,212271.8
1636952400000,7.097,7.11,7.082,7.086,291803.6
1636956000000,7.087,7.146,7.08,7.131,393345.7
1636959600000,7.132,7.155,7.095,7.112,414037.6
1636963200000,7.113,7.123,7.023,7.072,593502.9
1636966800000,7.071,7.097,7.059,7.068,322148.8
1636970400000,7.068,7.096,7.057,7.09,288560.5
1636974000000,7.09,7.096,7.06,7.086,287090.1
1636977600000,7.088,7.095,7.041,7.068,340138.2
1636981200000,7.068,7.127,7.056,7.069,433971.8
1636984800000,7.069,7.069,6.961,6.993,880871.3
1636988400000,6.995,6.997,6.925,6.964,746509.0
1636992000000,6.964,6.994,6.93,6.973,488915.4
1636995600000,6.973,7.037,6.946,6.992,460320.9
1636999200000,6.992,7.007,6.905,6.937,372931.5
1637002800000,6.935,6.973,6.909,6.972,411800.6
1637006400000,6.972,6.972,6.857,6.906,706547.7
1637010000000,6.904,6.914,6.82,6.889,738859.1
1637013600000,6.889,6.892,6.8,6.862,572857.9
1637017200000,6.862,6.863,6.774,6.802,627961.0
1637020800000,6.803,6.804,6.55,6.62,2121566.0
1637024400000,6.621,6.675,6.352,6.6,3558483.1
1637028000000,6.599,6.641,6.54,6.559,1102435.7
1637031600000,6.558,6.594,6.416,6.516,1448324.3
1637035200000,6.518,6.615,6.426,6.59,1090569.7
1637038800000,6.587,6.602,6.517,6.543,610259.6
1637042400000,6.542,6.579,6.487,6.551,584628.1
1637046000000,6.552,6.567,6.474,6.533,548311.1
1637049600000,6.533,6.586,6.502,6.582,489930.4
1637053200000,6.582,6.609,6.411,6.413,1055254.8
1637056800000,6.412,6.426,5.751,6.255,7341178.0
1637060400000,6.254,6.351,6.234,6.338,1111376.8
1637064000000,6.339,6.387,6.265,6.283,1222077.9
1637067600000,6.284,6.368,6.275,6.348,673026.9
1637071200000,6.348,6.454,6.337,6.389,845216.7
1637074800000,6.391,6.411,6.324,6.346,616653.0
1637078400000,6.345,6.426,6.32,6.352,750157.7
1637082000000,6.352,6.382,6.303,6.327,311386.2
1637085600000,6.328,6.414,6.259,6.259,570527.0
1637089200000,6.264,6.418,6.242,6.352,1023105.3
1637092800000,6.351,6.351,6.14,6.239,1099239.5
1637096400000,6.238,6.357,6.229,6.333,600524.6
1637100000000,6.333,6.38,6.317,6.331,290381.4
1637103600000,6.331,6.345,6.249,6.252,318393.5
1637107200000,6.252,6.346,6.207,6.22,850345.1
1637110800000,6.221,6.316,6.169,6.185,650307.7
1637114400000,6.184,6.254,6.147,6.187,726023.4
1637118000000,6.188,6.225,6.058,6.1,1061740.3
1637121600000,6.101,6.196,6.025,6.193,978481.2
1637125200000,6.196,6.291,6.17,6.244,566040.7
1637128800000,6.244,6.28,6.198,6.24,678886.5
1637132400000,6.242,6.34,6.19,6.274,826869.9
1637136000000,6.273,6.333,6.253,6.253,365278.9
1637139600000,6.253,6.355,6.188,6.298,1640675.1
1637143200000,6.298,6.553,6.248,6.49,2425111.4
1637146800000,6.49,6.516,6.435,6.505,873757.8
1637150400000,6.506,6.529,6.469,6.493,530181.0
1637154000000,6.492,6.526,6.441,6.446,493309.3
1637157600000,6.444,6.55,6.425,6.431,1027595.9
1637161200000,6.43,6.616,6.413,6.598,1478449.9
1637164800000,6.599,6.601,6.461,6.555,1372345.5
1637168400000,6.556,6.56,6.482,6.528,554363.2
1637172000000,6.528,6.559,6.523,6.539,305119.4
1637175600000,6.539,6.56,6.482,6.503,375512.6
1637179200000,6.503,6.554,6.464,6.535,424828.6
1637182800000,6.535,6.551,6.461,6.546,467386.8
1637186400000,6.546,6.606,6.49,6.552,704065.0
1637190000000,6.553,6.615,6.53,6.586,335493.0
1637193600000,6.586,6.642,6.55,6.608,593843.5
1637197200000,6.608,6.647,6.556,6.603,460283.6
1637200800000,6.602,6.632,6.573,6.621,455410.9
1637204400000,6.621,6.629,6.495,6.5,499921.4
1637208000000,6.5,6.545,6.375,6.413,1028545.6
1637211600000,6.413,6.512,6.381,6.503,794645.2
1637215200000,6.503,6.528,6.436,6.467,501545.2
1637218800000,6.467,6.481,6.39,6.465,607882.7
1637222400000,6.466,6.494,6.416,6.462,543365.4
1637226000000,6.462,6.514,6.337,6.5,1214220.4
1637229600000,6.501,6.625,6.472,6.613,818095.7
1637233200000,6.613,6.631,6.463,6.47,668606.5
1637236800000,6.469,6.563,6.431,6.465,940077.4
1637240400000,6.466,6.502,6.347,6.4,972733.7
1637244000000,6.401,6.434,6.22,6.247,1323256.1
1637247600000,6.246,6.296,6.022,6.115,2884162.2
1637251200000,6.116,6.2,6.011,6.02,2033521.6
1637254800000,6.021,6.117,5.839,6.033,2677219.7
1637258400000,6.035,6.095,6.022,6.07,754389.8
1637262000000,6.07,6.125,6.043,6.081,624947.2
1637265600000,6.081,6.136,6.028,6.09,1170585.8
1637269200000,6.089,6.129,5.99,6.018,470448.2
1637272800000,6.016,6.036,5.915,5.948,663345.4
1637276400000,5.948,5.992,5.9,5.976,689063.9
1637280000000,5.975,6.086,5.887,6.082,1204426.6
1637283600000,6.082,6.084,5.964,5.999,869088.1
1637287200000,5.998,6.061,5.854,5.889,948090.6
1637290800000,5.888,5.95,5.828,5.909,808061.5
1637294400000,5.909,6.032,5.897,6.025,526334.2
1637298000000,6.025,6.063,5.986,6.045,430310.1
1637301600000,6.046,6.062,5.971,5.993,539584.0
1637305200000,5.994,6.028,5.953,6.017,691424.1
1637308800000,6.019,6.198,6.018,6.134,1216944.7
1637312400000,6.133,6.31,6.13,6.216,921037.1
1637316000000,6.216,6.229,6.153,6.204,673392.3
1637319600000,6.204,6.246,6.154,6.22,517880.8
1637323200000,6.221,6.298,6.195,6.265,623856.3
1637326800000,6.267,6.355,6.227,6.355,626433.7
1637330400000,6.355,6.377,6.276,6.343,744879.9
1637334000000,6.346,6.365,6.294,6.305,709016.2
1637337600000,6.305,6.367,6.305,6.35,431408.1
1637341200000,6.351,6.39,6.321,6.321,494539.1
1637344800000,6.321,6.337,6.282,6.316,387957.0
1637348400000,6.315,6.341,6.236,6.291,458273.9
1637352000000,6.291,6.304,6.26,6.268,347618.4
1637355600000,6.267,6.32,6.249,6.32,365311.2
1637359200000,6.319,6.334,6.305,6.323,203767.6
1637362800000,6.323,6.369,6.309,6.34,317935.2
1637366400000,6.341,6.422,6.332,6.349,601876.6
1637370000000,6.352,6.426,6.319,6.403,549885.4
1637373600000,6.404,6.41,6.35,6.351,351593.8
1637377200000,6.35,6.358,6.3,6.308,312786.8
1637380800000,6.308,6.32,6.285,6.305,288495.1
1637384400000,6.304,6.317,6.262,6.292,401820.3
1637388000000,6.292,6.352,6.282,6.329,282204.9
1637391600000,6.331,6.379,6.322,6.342,429243.6
1637395200000,6.342,6.427,6.338,6.411,333863.8
1637398800000,6.411,6.562,6.411,6.534,635148.8
1637402400000,6.534,6.538,6.487,6.507,532280.0
1637406000000,6.508,6.524,6.469,6.491,417653.1
1637409600000,6.491,6.532,6.477,6.498,403996.1
1637413200000,6.499,6.521,6.443,6.472,342730.0
1637416800000,6.471,6.523,6.461,6.475,445394.4
1637420400000,6.475,6.489,6.28,6.321,1493529.0
1637424000000,6.318,6.521,6.307,6.516,1203137.3
1637427600000,6.515,6.638,6.504,6.554,1355191.5
1637431200000,6.554,6.678,6.522,6.663,1320797.5
1637434800000,6.662,6.679,6.628,6.654,466077.7
1637438400000,6.655,6.697,6.632,6.636,565449.0
1637442000000,6.635,6.681,6.628,6.667,257565.3
1637445600000,6.667,6.689,6.652,6.659,226591.8
1637449200000,6.659,6.74,6.659,6.712,510785.0
1637452800000,6.712,6.837,6.694,6.775,784536.9
1637456400000,6.776,6.787,6.664,6.743,1040585.0
1637460000000,6.743,6.757,6.603,6.673,760797.1
1637463600000,6.673,6.77,6.648,6.665,904438.6
1637467200000,6.665,6.724,6.633,6.637,407285.4
1637470800000,6.637,6.668,6.628,6.662,282949.6
1637474400000,6.66,6.673,6.61,6.671,347327.7
1637478000000,6.673,6.856,6.631,6.827,851846.6
1637481600000,6.827,6.876,6.764,6.784,1355109.1
1637485200000,6.783,6.805,6.741,6.775,444267.3
1637488800000,6.777,6.849,6.723,6.775,1416820.8
1637492400000,6.776,6.822,6.692,6.74,687505.6
1637496000000,6.74,6.861,6.737,6.823,600971.2
1637499600000,6.824,6.849,6.754,6.76,401003.3
1637503200000,6.76,6.977,6.7,6.89,1924601.6
1637506800000,6.891,6.974,6.866,6.968,654782.4
1637510400000,6.969,6.991,6.911,6.958,753463.5
1637514000000,6.957,7.02,6.892,7.016,1071908.9
1637517600000,7.016,7.043,6.899,6.933,753654.6
1637521200000,6.934,7.097,6.934,7.073,984258.5
1637524800000,7.073,7.14,7.046,7.13,915279.3
1637528400000,7.126,7.218,7.088,7.193,1253394.5
1637532000000,7.192,7.201,7.012,7.079,1069973.4
1637535600000,7.077,7.195,7.055,7.113,1323541.4
1637539200000,7.111,7.279,7.082,7.102,2578323.1
1637542800000,7.102,7.166,6.913,6.939,1608839.8
1637546400000,6.939,6.992,6.737,6.795,1643518.7
1637550000000,6.794,6.815,6.648,6.687,1606098.2
1637553600000,6.688,6.725,6.586,6.591,754336.6
1637557200000,6.59,6.622,6.513,6.608,847854.3
1637560800000,6.607,6.608,6.538,6.576,484976.8
1637564400000,6.575,6.683,6.571,6.596,827453.1
1637568000000,6.597,6.681,6.587,6.653,478796.7
1637571600000,6.653,6.699,6.611,6.615,610777.3
1637575200000,6.616,6.679,6.571,6.679,587515.5
1637578800000,6.679,6.755,6.641,6.72,1358745.8
1637582400000,6.719,6.781,6.654,6.664,1124177.4
1637586000000,6.665,6.816,6.522,6.745,1952733.2
1637589600000,6.745,6.79,6.522,6.583,1559028.7
1637593200000,6.583,6.651,6.581,6.613,863151.2
1637596800000,6.613,6.776,6.597,6.766,1036384.6
1637600400000,6.766,6.784,6.65,6.699,816011.9
1637604000000,6.7,6.729,6.535,6.541,809469.0
1637607600000,6.54,6.626,6.385,6.434,1618881.2
1637611200000,6.433,6.489,6.397,6.439,654326.8
1637614800000,6.435,6.528,6.404,6.527,728304.3
1637618400000,6.526,6.601,6.473,6.597,555375.1
1637622000000,6.596,6.598,6.495,6.51,590761.5
1637625600000,6.51,6.571,6.432,6.545,691110.0
1637629200000,6.545,6.578,6.514,6.544,365718.0
1637632800000,6.543,6.547,6.473,6.528,434050.4
1637636400000,6.528,6.591,6.518,6.551,544004.2
1637640000000,6.55,6.592,6.537,6.567,374747.2
1637643600000,6.568,6.589,6.487,6.513,546790.4
1637647200000,6.513,6.519,6.45,6.476,471652.1
1637650800000,6.476,6.485,6.355,6.387,695083.6
1637654400000,6.385,6.414,6.308,6.401,807069.7
1637658000000,6.402,6.482,6.256,6.401,1579946.8
1637661600000,6.4,6.517,6.34,6.464,1195776.9
1637665200000,6.464,6.471,6.368,6.386,720156.1
1637668800000,6.386,6.425,6.325,6.357,593684.2
1637672400000,6.359,6.435,6.354,6.422,490108.0
1637676000000,6.423,6.495,6.4,6.484,789488.3
1637679600000,6.484,6.555,6.462,6.516,704036.2
1637683200000,6.517,6.639,6.513,6.638,951355.1
1637686800000,6.637,6.659,6.607,6.628,523427.0
1637690400000,6.628,6.662,6.557,6.617,569728.5
1637694000000,6.617,6.706,6.587,6.705,467363.7
1637697600000,6.706,6.882,6.687,6.865,907415.1
1637701200000,6.865,6.997,6.839,6.973,1823218.8
1637704800000,6.974,6.997,6.879,6.919,736562.7
1637708400000,6.919,6.929,6.857,6.871,540060.3
1637712000000,6.871,6.977,6.856,6.958,856214.0
1637715600000,6.958,6.979,6.732,6.743,1095575.0
1637719200000,6.745,6.835,6.629,6.652,1142414.7
1637722800000,6.651,6.731,6.635,6.693,562557.4
1637726400000,6.693,6.758,6.68,6.747,464963.6
1637730000000,6.747,6.823,6.735,6.789,433149.6
1637733600000,6.788,6.801,6.656,6.755,775988.4
1637737200000,6.756,6.818,6.722,6.814,547691.1
1637740800000,6.813,6.858,6.729,6.825,938096.0
1637744400000,6.824,6.832,6.755,6.763,400764.3
1637748000000,6.763,6.837,6.736,6.819,597910.8
1637751600000,6.82,6.848,6.758,6.76,405893.2
1637755200000,6.762,6.977,6.742,6.888,3080516.7
1637758800000,6.889,6.939,6.666,6.677,1563526.0
1637762400000,6.678,6.781,6.53,6.583,2049607.7
1637766000000,6.583,6.729,6.567,6.695,933593.1
1637769600000,6.694,6.727,6.61,6.642,626416.6
1637773200000,6.642,6.681,6.49,6.508,1078449.3
1637776800000,6.508,6.588,6.506,6.564,498156.6
1637780400000,6.564,6.57,6.492,6.53,474464.7
1637784000000,6.529,6.616,6.457,6.611,777687.1
1637787600000,6.609,6.741,6.581,6.659,1482739.9
1637791200000,6.659,6.684,6.596,6.626,334229.2
1637794800000,6.625,6.646,6.58,6.618,304926.3
1637798400000,6.617,6.683,6.521,6.67,776068.2
1637802000000,6.67,6.706,6.655,6.671,467617.3
1637805600000,6.671,6.728,6.638,6.723,408182.2
1637809200000,6.723,6.892,6.707,6.878,1017670.5
1637812800000,6.879,6.907,6.817,6.884,761276.5
1637816400000,6.885,6.89,6.754,6.776,609514.0
1637820000000,6.775,7.024,6.767,7.005,1200381.5
1637823600000,7.006,7.11,6.913,7.065,1553605.6
1637827200000,7.064,7.2,7.062,7.097,1588470.2
1637830800000,7.1,7.2,7.005,7.196,1732617.3
1637834400000,7.196,7.275,7.125,7.265,2065941.4
1637838000000,7.266,7.5,7.264,7.451,3537236.2
1637841600000,7.45,7.498,7.318,7.369,2751033.8
1637845200000,7.37,7.512,7.27,7.446,3107046.8
1637848800000,7.443,7.518,7.374,7.404,1886932.6
1637852400000,7.405,7.577,7.403,7.518,1873374.4
1637856000000,7.518,7.584,7.362,7.431,2200650.5
1637859600000,7.432,7.49,7.364,7.443,1057600.6
1637863200000,7.443,7.512,7.421,7.493,744040.1
1637866800000,7.494,7.502,7.398,7.425,655071.1
1637870400000,7.425,7.469,7.316,7.342,930870.4
1637874000000,7.342,7.511,7.332,7.483,1153359.6
1637877600000,7.483,7.561,7.395,7.537,994401.5
1637881200000,7.537,7.568,7.367,7.398,1133482.4
1637884800000,7.398,7.473,7.217,7.23,1648452.3
